iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
TCD,2022,2022-12-31,7649.0,194.0,21.16,20.45,,18455316.0,Chad,414.46052725404434,10.511876361260896
CHL,2020,2020-12-31,598394.0,16404.0,0.04,,,19370624.0,Chile,30891.828781561195,846.8493322672517
CHL,2021,2021-12-31,1799125.0,39013.0,88.29,84.41,56.28,19456334.0,Chile,92469.88667032546,2005.1567782502088
CHL,2022,2022-12-31,5006159.0,63012.0,92.24,90.27,139.87,19553036.0,Chile,256029.7541517338,3222.6197507128813
CHN,2020,2020-12-31,96324.0,4777.0,,,,1411100000.0,China,68.26163985543194,3.3853022464743816
CHN,2021,2021-12-31,130858.0,5699.0,88.36,84.68,8.46,1412360000.0,China,92.65201506698008,4.035090203630802
CHN,2022,2022-12-31,62445650.0,38995.0,91.68,89.35,57.21,1412175000.0,China,44219.48412909165,27.613433179315592
CXR,2020,,,,,,,,Christmas Island,,
CXR,2021,,,,,,,,Christmas Island,,
CXR,2022,,,,,,,,Christmas Island,,
CCK,2020,,,,,,,,Cocos (Keeling) Islands,,
CCK,2021,,,,,,,,Cocos (Keeling) Islands,,
CCK,2022,,,,,,,,Cocos (Keeling) Islands,,
COL,2020,2020-12-31,1574707.0,41690.0,,,,50629997.0,Colombia,31102.25347238318,823.424895719429
COL,2021,2021-12-31,5118254.0,129686.0,73.94,54.6,6.41,51188173.0,Colombia,99988.99550487961,2533.5149195498734
COL,2022,2022-12-31,6338339.0,142076.0,82.72,71.09,27.99,51737944.0,Colombia,122508.52101892569,2746.069693067046
COM,2020,2020-12-31,661.0,7.0,,,,802163.0,Comoros,824.0220503812816,8.726405979832029
COM,2021,2021-12-31,5603.0,153.0,40.08,29.41,,818174.0,Comoros,6848.176549242582,187.00178690596377
COM,2022,2022-12-31,8982.0,160.0,52.44,47.45,,834188.0,Comoros,10767.356998662173,191.80328654931503
COG,2020,2020-12-31,6389.0,100.0,,,,5752791.0,Congo,1110.5913633921343,17.382866855409834
COG,2021,2021-12-31,20089.0,367.0,10.43,2.28,,5892183.0,Congo,3409.4324633162278,62.285913387279386
COG,2022,2022-12-31,25063.0,386.0,11.65,10.96,,6035104.0,Congo,4152.869610863376,63.95912978467314
COD,2020,2020-12-31,16837.0,579.0,,,,95989998.0,"Congo, the Democratic Republic of the",175.40369153877884,6.031878446335627
COD,2021,2021-12-31,75044.0,1205.0,0.26,0.12,,99148932.0,"Congo, the Democratic Republic of the",756.8815768988818,12.153433987569327
COD,2022,2022-12-31,95070.0,1462.0,9.24,6.92,,102396968.0,"Congo, the Democratic Republic of the",928.4454594397756,14.277766505742632
COK,2020,2020-12-31,0.0,0.0,,,,,Cook Islands,,
